                           data_label                            |                   name                    |  release   |            lastmod            |             data_md5             
-----------------------------------------------------------------+-------------------------------------------+------------+-------------------------------+----------------------------------
 GN-CAL20170616-11-022                                           | N20170616S0540.fits                       | 2017-06-16 | 2017-06-19 03:21:29.345417+00 | a9392e14dc5ae4d2769618762abaa4b5
 GN-CAL20170616-11-021                                           | N20170616S0539.fits                       | 2017-06-16 | 2017-06-19 03:21:29.910412+00 | 5ce39d6af5bfd806bc0ae87f26434cb5
 GN-CAL20170616-11-020                                           | N20170616S0538.fits                       | 2017-06-16 | 2017-06-19 03:21:30.04441+00  | 9a6d746e4f3b57bb90d339182cf0701c
 GN-CAL20170616-11-019                                           | N20170616S0537.fits                       | 2017-06-16 | 2017-06-19 03:21:30.299408+00 | de99383f74212d89da5dfa8435dbdf73
 GN-CAL20170616-11-018                                           | N20170616S0536.fits                       | 2017-06-16 | 2017-06-19 03:21:31.014401+00 | e7d692fcbf50e7403f1065da1b2fd6ac
 GN-CAL20170616-11-017                                           | N20170616S0535.fits                       | 2017-06-16 | 2017-06-19 03:21:31.585396+00 | 47d49a5c7c8915df144ab7dceb619199
 GN-CAL20170616-11-016                                           | N20170616S0534.fits                       | 2017-06-16 | 2017-06-19 03:21:31.840394+00 | 6c6921ee0647da61bcefc19a0675b682
 GN-CAL20170616-11-015                                           | N20170616S0533.fits                       | 2017-06-16 | 2017-06-19 03:21:31.939393+00 | 3950af3819082d18852c96a17cb24680
 GN-CAL20170616-11-014                                           | N20170616S0532.fits                       | 2017-06-16 | 2017-06-19 03:21:32.725385+00 | 357f4c501a949d2b15bc9e83c0e20172
 GS-CAL20150505-4-035                                            | S20150505S0346.fits                       | 2015-05-05 | 2017-06-20 21:56:27.86147+00  | 0df4bc99b33ef9149cda12605d368cbe
 GS-CAL20150505-4-036-G-BIAS                                     | gS20150505S0347_bias.fits                 | 2015-05-05 | 2017-06-20 21:56:28.177467+00 | ed30728a313976e163a2035ce70d5cc7
 GS-CAL20150505-4-034                                            | S20150505S0345.fits                       | 2015-05-05 | 2017-06-20 21:56:28.344465+00 | 6711911461a7109fc3786050d63fe7d5
